village_id,channel,gap,gap_terrain,gap_residual,dominance_margin,ci_lo_terrain,ci_hi_terrain,ci_lo_residual,ci_hi_residual,ci_lo_dominance,ci_hi_dominance,pr_terrain_abs_dominates,pr_residual_abs_dominates,pr_terrain_positive,pr_residual_positive,constraint_class,constraint_class_short,constraint_reason,constraint_class_idn
3404140005,FFAS,2.323817968363735,-0.3060607853314033,2.6298787536951385,-2.323817968363735,-0.5146133609586534,-0.1149839335714444,2.438801901935179,2.8384313293223884,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140006,DIS,0.8279571742113946,-0.346358426275872,1.1743156004872666,-0.8279571742113945,-0.4750704724542613,-0.2307165505787505,1.058673724790145,1.3030276466656558,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140006,FFAS,0.6048759623252228,-0.2783766478864991,0.8832526102117219,-0.6048759623252228,-0.4680650029246856,-0.1045832838524652,0.7094592461776879,1.0729409652499085,-0.6048759623252229,-0.6048759623252227,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140007,DIS,0.323179681482577,-0.2628633290952331,0.58604301057781,-0.323179681482577,-0.360547330367841,-0.1750987299907473,0.4982784114733243,0.683727011850418,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140007,FFAS,-0.90574960158876,-0.2112696179868113,-0.6944799836019487,-0.4832103656151374,-0.3552306384593475,-0.0793718531890841,-0.8263777483996759,-0.5505189631294125,-0.7470058952105918,-0.1952883246700649,0.002,0.998,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404140008,DIS,-1.543423764186849,-0.3367921866468606,-1.2066315775399885,-0.8698393908931277,-0.4619492730394524,-0.2243442794232704,-1.3190794847635785,-1.0814744911473966,-1.094735205340308,-0.6195252181079441,0.0,1.0,0.0,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404140008,FFAS,2.323817968363735,-0.270688029626402,2.594505997990137,-2.323817968363735,-0.4551372909354729,-0.1016947479352684,2.425512716299004,2.778955259299208,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404150001,DIS,0.323179681482577,-0.3753716602852852,0.6985513417678622,-0.3231796814825769,-0.5148654644123887,-0.2500428691088339,0.5732225505914109,0.8380451458949655,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404150001,FFAS,1.7125057201659473,-0.3016952860808361,2.0142010062467834,-1.7125057201659473,-0.5072731712013661,-0.1133438597694711,1.8258495799354184,2.219778891367313,-1.7125057201659477,-1.712505720165947,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404150002,DIS,-0.1815978112462405,-0.3509986647219446,0.1694008534757041,0.1815978112462405,-0.4814350939089168,-0.2338075099056302,0.0522096986593897,0.2998372826626762,0.1815978112462405,0.1815978112462405,1.0,0.0,0.0,0.997,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404150002,FFAS,-2.531884125188873,-0.2821061198034978,-2.249778005385375,-1.967671885581877,-0.4743357705950015,-0.105984408634578,-2.425899716554295,-2.057548354593872,-2.319915307919717,-1.5832125839988702,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404150003,DIS,0.323179681482577,-0.0709078797546801,0.3940875612372571,-0.323179681482577,-0.0972583236908317,-0.0472332132980137,0.3704128947805907,0.4204380051734087,-0.323179681482577,-0.3231796814825769,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404150003,FFAS,1.7125057201659473,-0.0569903786868599,1.7694960988528072,-1.7125057201659473,-0.0958241360015951,-0.0214107073862657,1.733916427552213,1.8083298561675425,-1.7125057201659473,-1.7125057201659473,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404150004,DIS,-0.1815978112462405,-0.1580723548142376,-0.0235254564320029,0.1345468983822347,-0.2168144401480345,-0.1052952827991926,-0.0763025284470479,0.0352166289017939,0.0289927543521447,0.1815978112462405,0.987,0.013,0.0,0.232,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404150004,FFAS,-0.9564173476359852,-0.1270465763742215,-0.8293707712617635,-0.7023241948875419,-0.2136172577464798,-0.0477301104827102,-0.9086872371532748,-0.7428000898895053,-0.8609571266705646,-0.5291828321430255,0.0,1.0,0.003,0.0,No significant dominance,No significant dominance,No positive supply gap,Tidak Ada Dominasi Signifikan
3404160001,DIS,0.0707909351181681,0.4949265214447881,-0.4241355863266199,0.0707909351181681,0.3296808483785285,0.6788487258734803,-0.6080577907553123,-0.2588899132603604,0.0707909351181681,0.0707909351181682,1.0,0.0,1.0,0.0,Terrain-constrained,Terrain,Positive terrain component dominates with bootstrap support,Dominan Medan
3404160001,FFAS,1.0266354469645658,0.3977844208132185,0.6288510261513472,-0.2310666053381287,0.1494435733379449,0.6688383077565013,0.3577971392080643,0.8771918736266208,-0.727748300288676,0.311041168548437,0.249,0.751,0.997,1.0,No significant dominance,No significant dominance,Dominance uncertain at configured bootstrap CI,Tidak Ada Dominasi Signifikan
3404160002,DIS,1.0803459205758037,-0.2838597288914229,1.3642056494672263,-1.0803459205758037,-0.3893463108871416,-0.1890848685340924,1.269430789109896,1.469692231462945,-1.0803459205758037,-1.0803459205758037,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
